Clave,Nombre,Latitud,Longitud
3108,HUATAMOTE,25.5972222222,-111.3361111111
3109,LA POZA DE LEON,25.3625,-111.1722222222
3110,ALFREDO V. BONFIL,24.1486111111,-110.5677777778
3112,EL CARDON,26.7833333333,-113.15
3113,EL CONEJO,24.0736111111,-110.9972222222
3114,ENSENADA DE MUERTOS,23.9969444444,-109.8266666667
3115,LOS LAURELES,27.6,-113.55
3116,LOS CERRITOS,25.1888888889,-111.4111111111
3117,BAHIA ASUNCION,27.1425,-114.3
3119,BENITO JUAREZ,27.8847222222,-113.7777777778
3120,COLONIA PLUTARCO ELIAS CALLES,23.2208333333,-110.1444444444
3121,EL DATIL,26.885,-112.6161111111
3122,GUILLERMO PRIETO,27.8388888889,-113.3208333333
3123,PUNTA EUGENIA,27.8463888889,-115.0833333333
3124,RAMADITAS,25.1222222222,-111.9541666667
3125,SAN AGUSTIN,24.1583333333,-110.9236111111
3126,SAN ANTONIO DE LA SIERRA,26.5208333333,-112.5041666667
3128,SAN LUIS GONZAGA,24.9075,-111.2905555556
3129,SAN NICOLAS,26.5433333333,-111.5491666667
3130,SAN RAMON,25.2791666667,-111.2852777778
3131,SANTA FE,24.3041666667,-111.2125
3133,SAN ANTONIO NORTE,26.1416666667,-111.4555555556
3134,LOS CANTILITOS,24.5938888889,-110.9916666667
3135,LA CANDELARIA,23.075,-110.0258333333
3136,LOS FILOS,23.9666666667,-110.4666666667
3137,LA SOLEDAD SUR,23.1433333333,-110.0011111111
3138,LIGUI,25.7347222222,-111.2694444444
3139,C.E.F. LA PAZ,23.3833333333,-110.15
3140,SAN JUAN DE LA COSTA,24.375,-110.6916666667
3141,SAN LUCAS NORTE,25.6138888889,-111.7461111111
3143,LAS PALMAS,23.6805555556,-109.6972222222
3144,MANGLE,23.3458333333,-109.6458333333
3145,SAN SIMON,23.6566666667,-110.0455555556
3146,SANTA RITA,24.5902777778,-111.4638888889
3147,AGUAJITO,26.2,-112.15
3148,EL MEZQUITAL,27.4111111111,-112.5777777778
3149,SAN ISIDRO,23.65,-110.2916666667
3150,TIGUANA,25.2083333333,-111.1263888889
3151,PICHILINGUE,24.2694444444,-110.3208333333
3154,LEY FEDERAL DE AGUAS 5,25.0944444444,-111.5083333333
3155,SAN RAYMUNDO,26.3805555556,-112.5986111111
3156,SAN MIGUEL,26.7208333333,-112.3055555556
3158,SAN MARTIN,26.6291666667,-112.3327777778
3162,LAS BARRANCAS,25.0011111111,-112.1977777778
3163,AGUA CALIENTE,23.4411111111,-109.7944444444
3165,JUNTA DE LOS ARROYOS,23.6652777778,-110.075
3166,PABELLON,25.9591666667,-112.0819444444
3167,EL SARGENTO,24.0802777778,-109.9944444444
3168,LORETO (OBS),26.0166666667,-111.3472222222
3172,GUAJADEMI,26.3486111111,-112.1708333333
3173,SAN PEDRITO (CFE),24.9,-111.25
3174,GUERRERO NEGRO,27.9680555556,-114.0458333333
3175,LA MUELA,23.5819444444,-110.2208333333
3176,LA FORTUNA,24.6513888889,-111.2152777778
3177,VALLE PERDIDO,23.6958333333,-110.1194444444
3178,SANTA INES,23.5422222222,-110.1491666667
3179,LEY FEDERAL DE AGUAS 4,25.2013888889,-111.5597222222
3180,LEY FEDERAL DE AGUAS 1,25.3355555556,-111.6391666667
3181,LA NUEVA CALIFORNIA,23.4333333333,-109.7833333333
3182,EL CRUCERO,23.4388888889,-110.0694444444
3183,SAN VICENTE DE LA SIERRA,23.1722222222,-109.9861111111
3184,JOSEFA ORTIZ DE DOMINGUEZ,25.0005555556,-111.8338888889
3185,SANTA MARTHA,27.5486111111,-112.975
3186,AGUA DE SAN ANTONIO,23.6902777778,-109.9444444444
3187,EL IHUAJIL,24.9916666667,-111.4
